"","Manuscript.Number","Author.Name","Article.Title","Article.Type","Current.Status","Status.Date","Initial.Date.Submitted","Review.Status","DOI","Short.Title","Keywords","Reviewers","Handling.Editor","Assigned.Editors","Country","is_China"
"13","PNMC-D-22-00040","Xiangjun Chen (CHINA)","Evidence for oligogenic basis of Amyotrophic Lateral Sclerosis: burden of rare variants is associated with survival in Chinese ALS patients","Article","Revise","01 Jul 2022","12 Jun 2022","4 Complete; 0 Partial Review Saved; 19 Declined",NA,NA,NA,"Johnathan Cooper-Knock * ; Gromicho Gromicho * ; Naihe Jing * ; Janine Kirby *","Sankari Gireesa","Chen Ding","CHINA","China"
"14","PNMC-D-22-00039R1","Minghui Liu (CHINA)","Overview of a sleep monitoring protocol for a large natural population","Protocol","Revision Needs Approval","30 Aug 2022","06 Jun 2022","",NA,NA,NA,"Diego R. Mazzotti ; Seiko Miyata ; Thomas Penzel","","","CHINA","China"
"15","PNMC-D-22-00038R1","Yuhua Fu (CHINA)","Autophagic clearance of lipid droplets alters metabolic phenotypes in a genetic obesity-diabetes mouse model","Article","Under Review","27 Aug 2022","02 Jun 2022","1 Complete; 0 Partial Review Saved; 2 Agreed; 1 Declined",NA,NA,NA,"Liang Ge ; Anna Katharina ; Zhong Qing ; Satoshi Tsukamoto ; Liang Ge * ; Zhong Qing * ; Satoshi Tsukamoto *","Chen Ding","Chen Ding","CHINA","China"
"16","PNMC-D-22-00037R1","Feng Qian (CHINA)","Immune Responses Analysis by Standardized Whole-Blood Stimulation Systems","Protocol","Under Review","30 Aug 2022","31 May 2022","1 Agreed; 2 Invited - No Response",NA,NA,NA,"Darragh Duffy ; Vijay Kumar ; Qiangming Sun ; Darragh Duffy * ; Vijay Kumar * ; Qiangming Sun *","Chen Ding","Chen Ding","CHINA","China"
"17","PNMC-D-22-00035","wejden brahmi (TUNISIA)","""The use of Imaging as non-destructive tool for water stress tolerance in spring barley (Hordeum vulgare L.)""","Article","Revise","01 Jul 2022","13 Jun 2022","3 Complete; 0 Partial Review Saved; 8 Declined",NA,NA,NA,"Yong Han, Ph.D * ; Guoping Zhang * ; Gaofeng Zhou *","Sankari Gireesa","Chen Ding","TUNISIA","Overseas"
"18","PNMC-D-22-00034R1","Jingjing Luo (CHINA)","A Protocol for Digitalized Collection of TCM Pulse Information by Using Bionic Pulse Diagnosis Equipment","Protocol","Reviews Completed","26 Aug 2022","21 May 2022","2 Complete; 0 Partial Review Saved",NA,NA,NA,"Stefano Laureti, PhD ; Kalburgi Maruthy, M.D ; Haixia Yan ; Stefano Laureti, PhD * ; Kalburgi Maruthy, M.D *","Chen Ding","Chen Ding","CHINA","China"
"19","PNMC-D-22-00033R2","Cuiwei Yang (CHINA)","Generalized analysis of atrial fibrillation risk related electrocardiogram phenotypes: a healthy population-based study protocol","Protocol","Under Review","30 Aug 2022","19 May 2022","1 Complete; 0 Partial Review Saved; 1 Agreed; 7 Invited - No Response; 18 Declined",NA,NA,NA,"Jung Myung Lee ; Miguel Rodrigo ; Jung Myung Lee ; Miguel Rodrigo ; Gonçalo Abecasis * ; Marzia Bortoli * ; Giulia Cesaroni * ; David Emmert * ; Christopher Haggerty * ; Jung Myung Lee * ; Miguel Rodrigo * ; Lamia Saikhan * ; Marja Veugen *","Chen Ding","Chen Ding","CHINA","China"
"20","PNMC-D-22-00032","Chengyan Wang (CHINA)","Protocol for brain magnetic resonance imaging (MRI) and imaging-derived phenotypes (IDPs) extraction in the Chinese Human Phenome Project","Protocol","Revise","15 Jun 2022","18 May 2022","2 Complete; 0 Partial Review Saved; 42 Declined",NA,NA,NA,"Hervé Saint-Jalmes * ; Ulysses S. Torres *","Sankari Gireesa","Chen Ding","CHINA","China"
"21","PNMC-D-22-00031R1","Yifang Gao (CHINA)","Immune aging evaluation of peripheral T and NK lymphocytes subsets in Chinese healthy adults","Article","Incomplete","31 Aug 2022","22 May 2022","",NA,NA,NA,"Michael G Brown ; Martin R. Goodier ; Dagmar Gotthardt ; Charles T. Lutz","","","CHINA","China"
"22","PNMC-D-22-00029","Yafei Yuan (CHINA)","Human endogenous melatonin is modulated by non-visual effects of light","Review","Final Decision Reject","26 Jul 2022","20 May 2022","3 Complete; 0 Partial Review Saved; 33 Declined",NA,NA,NA,"Jing Cao * ; James Olcese, PhD * ; Maria Seron-Ferre *","Sankari Gireesa","Chen Ding","CHINA","China"
"23","PNMC-D-22-00028","Mei Tian (CHINA)","Protocol for body imaging and imaging-derived phenotypes (IDPs) extraction in the Chinese Human Phenome Project","Protocol","Revise","22 Jun 2022","15 May 2022","2 Complete; 0 Partial Review Saved; 50 Declined",NA,NA,NA,"Yuan Huang * ; Robert Rehmann, M.D. *","Sankari Gireesa","Chen Ding","CHINA","China"
"24","PNMC-D-22-00027R1","Feng Qian (CHINA)","Deep Immunophenotyping of Human Whole Blood by Standardized Multi-Parametric Flow Cytometry Analyses","Protocol","Reviews Completed","23 Aug 2022","17 May 2022","3 Complete; 0 Partial Review Saved; 1 Agreed",NA,NA,NA,"Miriam P Beltrame ; Andreas Kummrow ; David R. Parks ; Lei Sun, Ph.D. ; Theresia M. Westers ; Miriam P Beltrame * ; David R. Parks * ; Lei Sun, Ph.D. * ; Theresia M. Westers *","Chen Ding","Chen Ding","CHINA","China"
"25","PNMC-D-22-00026R2","Weihua Meng (UNITED KINGDOM)","A meta-analysis of the genome-wide association studies on two genetically correlated phenotypes suggests four new risk loci for headaches","Article","Under Review","26 Aug 2022","14 May 2022","1 Complete; 0 Partial Review Saved; 15 Declined",NA,NA,NA,"Mari Kaunisto ; Kati Kristiansson ; Federico Murgia ; Caroline Ran ; Kati Kristiansson ; Caroline Ran ; Kati Kristiansson *","Chen Ding","Chen Ding","UNITED KINGDOM","Overseas"
"26","PNMC-D-22-00025R1","Luonan Chen (CHINA)","NetNiche: microbe-metabolite network reconstruction and microbial niche analysis","Brief Communication","Under Review","27 Aug 2022","10 May 2022","2 Complete; 0 Partial Review Saved; 4 Agreed; 11 Declined; 1 Late",NA,NA,NA,"Dai Hai Nguyen ; Naik Surabhi, Ph.D. ; Tao Zeng ; Yang Dai * ; Dai Hai Nguyen * ; Willem Waegeman * ; Hao Wu * ; Tao Zeng * ; Yan Zheng *","Chen Ding","Chen Ding","CHINA","China"
"27","PNMC-D-22-00024R2","Yi Lu (CHINA)","A genome-wide association study for susceptibility to axial length in highly myopic eyes","Article","Revise","30 Aug 2022","08 May 2022","2 Complete; 0 Partial Review Saved; 2 Declined",NA,NA,NA,"Toomas Haller ; Weihua Meng ; Peng Zhou ; Riyan Cheng ; Rebecca Darlay ; Weihua Meng ; Patrik Waldmann ; Riyan Cheng * ; Weihua Meng *","Sankari Gireesa","Chen Ding","CHINA","China"
"28","PNMC-D-22-00023R2","Wei Yan (CHINA)","Proteomic portrait of human lymphoma revealed protein molecular fingerprint for disease specific subtypes and progression.","Article","Final Decision Accept","25 Aug 2022","07 May 2022","",NA,NA,NA,"Zhiyuan Hu, PhD ; Jeovanis Jeovanis Gil ; Maja Ludvigsen ; Zhiyuan Hu, PhD ; Maja Ludvigsen","Sankari Gireesa","Chen Ding","CHINA","China"
"29","PNMC-D-22-00022R1","JEANNE MARIA DSOUZA (INDIA)","Genochondromatosis Revisted: the unanswered question","Brief Communication","Reviewers Assigned","23 Aug 2022","11 May 2022","2 Complete; 0 Partial Review Saved; 1 Agreed; 44 Declined; 1 Late",NA,NA,NA,"Lavinia Di Meglio ; Ayşenur Paç Kısaarslan ; Lavinia Di Meglio * ; Ayşenur Paç Kısaarslan * ; Christopher L. Sudduth *","Chen Ding","Chen Ding","INDIA","Overseas"
"30","PNMC-D-22-00021R1","Tiemin Liu (CHINA)","Accurate measurement of energy expenditure and substrate oxidation using whole-room- or mobile- indirect calorimeter","Protocol","Revise","11 Aug 2022","01 May 2022","3 Complete; 0 Partial Review Saved",NA,NA,NA,"Yingyun Gong ; Peter R. Murgatroyd ; Kumpei Tokuyama ; Yingyun Gong * ; Peter R. Murgatroyd * ; Kumpei Tokuyama *","Sankari Gireesa","Chen Ding","CHINA","China"
"31","PNMC-D-22-00020R1","Dongsheng Bi (CHINA)","The protocol of ultrasonic backscatter measurements and its feasibility in evaluating BMD, muscle and fat properties","Protocol","Incomplete","03 Aug 2022","29 Apr 2022","",NA,NA,NA,"WAGNER COELHO DE ALBUQUERQUE PEREIRA, D.Sc. ; Ann Viano","","","CHINA","China"
"32","PNMC-D-22-00019R2","Jiehui Jiang (CHINA)","Influence of gender on tau precipitation in Alzheimer’s disease according to ATN research framework","Article","Editor Assigned","26 Aug 2022","30 Apr 2022","",NA,NA,NA,"Suzanne L. Baker ; Frederic Brosseron ; Tengfei Guo, Ph.D. ; Max Holzer ; Frederic Brosseron ; Tengfei Guo, Ph.D. ; Max Holzer","Chen Ding","Chen Ding","CHINA","China"
"33","PNMC-D-22-00018R1","Jose Arturo Molina-Mora (COSTA RICA)","In silico pipeline to identify tumor-specific antigens for cancer immunotherapy using exome sequencing data","Article","Revise","22 Jul 2022","26 Apr 2022","3 Complete; 0 Partial Review Saved",NA,NA,NA,"Arman Bashirova ; Carolina Bekker-Méndez ; José Manuel Nunes ; James Robinson ; Arman Bashirova * ; José Manuel Nunes * ; James Robinson *","Sankari Gireesa","Chen Ding","COSTA RICA","Overseas"
"34","PNMC-D-22-00017R2","Chuantao Zuo (CHINA)","Dopaminergic dysfunction and glucose metabolism characteristics in parkin-induced early onset-Parkinson’s disease compared to genetically undetermined early onset-Parkinson’s disease","Article","Revise","30 Aug 2022","21 Apr 2022","2 Complete; 0 Partial Review Saved; 8 Declined",NA,NA,NA,"Mario Ezquerra ; Walter Pirker ; Han Soo Yoo, M.D. ; Walter Pirker ; Han Soo Yoo, M.D. ; Fulvio Lauretani * ; Han Soo Yoo, M.D. *","Sankari Gireesa","Chen Ding","CHINA","China"
"35","PNMC-D-22-00016R1","xin liu (CHINA)","Virtual fluorescence translation for biological tissue by conditional generative adversarial network","Article","Reviewers Assigned","30 Aug 2022","12 Apr 2022","1 Complete; 0 Partial Review Saved; 11 Invited - No Response; 12 Declined",NA,NA,NA,"Jianwen Luo ; Hugo Oliveira ; Luka Posilović ; Shiv Ram Dubey * ; Daniel S. Elson * ; Hayit Greenspan * ; Alan Hanjalic * ; Xavier Intes * ; Hanseok Ko * ; Bonhwa Ku * ; Jianwen Luo * ; Vishal M. Patel * ; Eiichiro Sumita * ; Sook Yoon * ; Luping Zhou *","Chen Ding","Chen Ding","CHINA","China"
"36","PNMC-D-22-00015R1","Xiao-Yong Zhang (CHINA)","Deep   learning assisted quantitative susceptibility mapping as a tool for grading and molecular subtyping of gliomas","Article","Incomplete","29 Aug 2022","13 Mar 2022","",NA,NA,NA,"Sachin Aryal ; Bernd Bischl ; Marta Lancione ; Ishan Manandhar","","","CHINA","China"
"37","PNMC-D-22-00014R3","Xu Lin (CHINA)","Plasma Lipidomic Subclasses and Risk of Hypertension in Middle-aged and Elderly Chinese","Article","Final Decision Accept","23 Apr 2022","21 Feb 2022","",NA,NA,NA,"Xiangfeng Lu ; Qibin Qi ; Xiangfeng Lu ; Qibin Qi","Sankari Gireesa","Chen Ding","CHINA","China"
"38","PNMC-D-22-00013R6","Hong Zhang (CHINA)","International Nuclear Medicine Consensus on the Clinical Use of Amyloid Positron Emission Tomography in Alzheimer’s Disease","Article","Final Decision Accept","25 Jul 2022","21 Feb 2022","",NA,NA,NA,"Pierrick Bourgeat ; Karl Herholz ; Pierrick Bourgeat ; Karl Herholz ; Pierrick Bourgeat ; Karl Herholz ; Jean-Paul Soucy, M.D., MSc ; Pierrick Bourgeat ; Jean-Paul Soucy, M.D., MSc","Sankari Gireesa","Chen Ding","CHINA","China"
"39","PNMC-D-22-00012R4","Wenhao Zhou (CHINA)","High-resolution and multidimensional phenotypes can complement genomics data to diagnose diseases in the neonatal population","Review","Final Decision Accept","08 Aug 2022","18 Feb 2022","",NA,NA,NA,"Marika D'Oria ; Yongkang Kim ; Marika D'Oria ; Yongkang Kim","Sankari Gireesa","Chen Ding","CHINA","China"
"40","PNMC-D-22-00011R1","Syed Naqui Ahmad Kazim (INDIA)","Forthcoming developments in models to study hepatitis B virus replication cycle, pathogenesis and pharmacological advancements","Review","Final Decision Reject","01 Jun 2022","14 Feb 2022","3 Complete; 0 Partial Review Saved; 11 Declined",NA,NA,NA,"Magda Rybicka ; Jochen Martin Wettengel, Ph.D., M.D. ; Wolfram H. Gerlich, Ph.D. * ; Shuko Murakami * ; Xiaonan Zhang *","Sankari Gireesa","Chen Ding","INDIA","Overseas"
"41","PNMC-D-22-00010R2","Min Wu (CHINA)","Cross-sectional exploration of the relationship between glutamate abnormalities and tic disorder severity using proton magnetic resonance spectroscopy","Article","Final Decision Accept","19 May 2022","12 Feb 2022","",NA,NA,NA,"Beata Galińska-Skok, Ph.D. ; Ling Li ; Andrei Manzhurtsev ; Beata Galińska-Skok, Ph.D. ; Andrei Manzhurtsev","Sankari Gireesa","Chen Ding","CHINA","China"
"42","PNMC-D-22-00009R2","Xianting Ding (CHINA)","A hashing-based framework for enhancing cluster delineation of high dimensional single-cell profiles","Article","Final Decision Accept","15 Apr 2022","09 Feb 2022","",NA,NA,NA,"Daigo Okada ; Chunsheng Wu ; Daigo Okada ; Chunsheng Wu","Sankari Gireesa","Chen Ding","CHINA","China"
"43","PNMC-D-22-00008R3","Jose Arturo Molina-Mora (COSTA RICA)","Clinical profiles at the time of diagnosis of SARS-CoV-2 infection in Costa Rica during the pre-vaccination period using a machine learning approach","Article","Final Decision Accept","28 Apr 2022","07 Feb 2022","",NA,NA,NA,"Dimitra S. Mouliou ; Kayode Oshinubi ; Dimitra S. Mouliou ; Kayode Oshinubi ; Dimitra S. Mouliou ; Kayode Oshinubi","Sankari Gireesa","Chen Ding","COSTA RICA","Overseas"
"44","PNMC-D-22-00007R3","Siyuan Tu (CHINA)","Management of Intraductal Papilloma of the Breast Diagnosed on Core Needle Biopsy: Latest Controversies","Review","Under Review","30 Aug 2022","25 Jan 2022","1 Complete; 0 Partial Review Saved; 1 Invited - No Response",NA,NA,NA,"Kiran Jakate ; Xueqing Wu ; Xueqing Wu ; MEDICINSKI FAKULTET SVEUČILIŠTE U ZAGREBU ; Xueqing Wu ; MEDICINSKI FAKULTET SVEUČILIŠTE U ZAGREBU ; Xueqing Wu * ; MEDICINSKI FAKULTET SVEUČILIŠTE U ZAGREBU *","Chen Ding","Chen Ding","CHINA","China"
"45","PNMC-D-22-00006R1","Bernard Friedenson (UNITED STATES)","Chromosome breaks in breast cancers occur near herpes tumor virus sequences:  an insight into why the cancer comes back","Article","Reviewers Assigned","30 Aug 2022","23 Jan 2022","1 Agreed; 17 Invited - No Response; 5 Declined",NA,NA,NA,"Despoina Kalfakakou ; Jianjun Liu, PhD ; Mariella Tancredi ; Cezary Cybulski * ; William D. Foulkes * ; David E. Goldgar * ; Despoina Kalfakakou * ; Karin Kast * ; Jan Lubinski * ; Henry T. Lynch * ; Siranoush Manoukian * ; Gillian Mitchell * ; Dieter Niederacher * ; Ana Peixoto * ; Rita K. Schmutzler * ; Leigha Senter * ; Dominique Stoppa‐Lyonnet * ; Nadine Tung * ; Maaike P. G. Vreeswijk * ; Richard J. Wenstrup * ; Dominika Wokołorczyk *","Chen Ding","Chen Ding","UNITED STATES","Overseas"
"46","PNMC-D-22-00005R3","Chunhui Deng (CHINA)","Metabolic molecular diagnosis of inflammatory bowel disease by synergistical promotion of layered titania nanosheets with graphitized carbon","Article","Final Decision Accept","15 Apr 2022","19 Jan 2022","",NA,NA,NA,"Kun Qian, Ph.D. ; Zhixin Tian ; Ornella Cominetti ; Kun Qian, Ph.D. ; Zhixin Tian ; Wei Zhang ; Ornella Cominetti ; Kun Qian, Ph.D. ; Zhixin Tian","Sankari Gireesa","Chen Ding","CHINA","China"
"47","PNMC-D-22-00004R4","An Pan (CHINA)","Low concordance between blood pressures measured in periodic health examinations and in a workplace-based hypertension management program","Article","Final Decision Accept","22 Jul 2022","15 Jan 2022","",NA,NA,NA,"Yuan-Yuan Kang ; Felix Vaura, BA ; Yuan-Yuan Kang ; Felix Vaura, BA","Sankari Gireesa","Chen Ding","CHINA","China"
"48","PNMC-D-22-00003R7","Yong Wang (CHINA)","Human genetic variants associated with COVID-19 severity are enriched in immune and epithelium regulatory networks","Article","Final Decision Accept","12 Jul 2022","12 Jan 2022","",NA,NA,NA,"Erola Pairo-Castineira ; Maria Palmieri ; Xinyi Xia ; Maria Palmieri ; Xinyi Xia","Sankari Gireesa","Chen Ding","CHINA","China"
"49","PNMC-D-22-00002R2","Minghui Chen (CHINA)","Identification of  key factors in the progression of osteoarthritis using a non-targeted metabolomics strategy","Article","Reviews Completed","29 Aug 2022","10 Jan 2022","2 Complete; 0 Partial Review Saved; 5 Declined",NA,NA,NA,"Yanhua Chen ; Yasin El Abiead, MSc ; Yanhua Chen ; Zhonghua Wang ; Yanhua Chen * ; Zhonghua Wang *","Chen Ding","Chen Ding","CHINA","China"
"50","PNMC-D-22-00001R2","Jianping Weng (CHINA)","The placenta in gestational diabetes mellitus: The hub for metabolic disturbance in mother and offspring","Review","Revision Needs Approval","30 Aug 2022","05 Jan 2022","",NA,NA,NA,"Theresa Powell ; Uma Radhakrishnan Nair, PhD ; Theresa Powell ; Johan Verhaeghe","","","CHINA","China"
"51","PNMC-D-21-00066","Subhashish Dey (INDIA)","Applications of Plants Leaf Biosorbents for Elimination of Iron and Phosphorus from contaminated Water: A Review","Review","Final Decision Reject","17 Mar 2022","29 Dec 2021","3 Complete; 0 Partial Review Saved; 5 Declined",NA,NA,NA,"Kunta Ravindhranath * ; Ashok K. Sharma, PhD * ; Hai Nguyen Tran *","Sankari Gireesa","Chen Ding","INDIA","Overseas"
"52","PNMC-D-21-00065R1","Guoqing Zhang (CHINA)","MPA: A standardized atlas for the Mycobacteriaceae phenome based on heterogeneous sources","Article","Revise","19 Aug 2022","28 Dec 2021","2 Complete; 0 Partial Review Saved; 66 Declined",NA,NA,NA,"Arnab Sen ; Xingming Zhao ; Prashanth Suravajhala * ; Xiaohan Tanner Zhang, MD,MS *","Sankari Gireesa","Chen Ding","CHINA","China"
"53","PNMC-D-21-00064R3","Yang Zhang (CHINA)","Identification of Germline Mutations in East-Asian Young Never Smokers with Lung Adenocarcinoma by Whole Exome Sequencing","Article","Final Decision Accept","07 May 2022","27 Dec 2021","",NA,NA,NA,"Samira Kalayinia ; Martine Tétreault ; Samira Kalayinia ; Bryan P. Stanifer ; Samira Kalayinia ; Bryan P. Stanifer","Sankari Gireesa","Chen Ding","CHINA","China"
"54","PNMC-D-21-00063R3","Manoel Teixeira Souza Jr (BRAZIL)","Multi-Omics A nalysis of young Portulaca oleracea L . plants’ responses to high NaCl doses reveal insights on pathways and genes responsive to salinity stress in this halophyte species","Article","Final Decision Accept","04 May 2022","27 Dec 2021","",NA,NA,NA,"Miki Daisuke ; Ali Raza, Ph.D.; Post-doc research fellow ; Miki Daisuke ; Ali Raza, Ph.D.; Post-doc research fellow","Sankari Gireesa","Chen Ding","BRAZIL","Overseas"
"55","PNMC-D-21-00062","Jian YANG (CHINA)","Research Progress of Magnetic Micro-nano Robots for Biomedical Applications","Article","Final Decision Reject","22 Jan 2022","22 Dec 2021","2 Complete; 0 Partial Review Saved; 3 Declined",NA,NA,NA,"James Martin * ; Yuanyi Zheng *","Sankari Gireesa","Chen Ding","CHINA","China"
"56","PNMC-D-21-00061R1","Mei Tian (CHINA)","Phenomic Imaging","Review","Incomplete","15 May 2022","23 Dec 2021","",NA,NA,NA,"Juergen Hennig, PhD ; Patrick J. Treado","","","CHINA","China"
"57","PNMC-D-21-00060R2","Haojie Lu (CHINA)","Nascent proteome and glycoproteome reveal the inhibition role of ALG1 in hepatocellular carcinoma cell migration","Article","Final Decision Accept","22 Mar 2022","12 Dec 2021","",NA,NA,NA,"Ling Dong ; Jianguo Wang ; Wantao Ying ; Ling Dong ; Jianguo Wang ; Wantao Ying","Sankari Gireesa","Chen Ding","CHINA","China"
"58","PNMC-D-21-00059","Ting Ni (CHINA)","Reduced usage of GLS intronic polyadenylation promotes cellular senescence","Article","Revise","04 Jan 2022","06 Dec 2021","2 Complete; 0 Partial Review Saved",NA,NA,NA,"Yangming Wang * ; Ming Yu *","Sankari Gireesa","Chen Ding","CHINA","China"
"59","PNMC-D-21-00058R2","Jian Wang (CHINA)","Deep Clinical Phenotyping of Parkinson’s Disease: Towards a New Era of Research and Clinical Care","Review","Final Decision Accept","28 Mar 2022","24 Nov 2021","2 Complete; 0 Partial Review Saved",NA,NA,NA,"Sean Gibbons ; Jianping Jia ; Sean Gibbons ; Jianping Jia ; Sean Gibbons * ; Jianping Jia *","Sankari Gireesa","Chen Ding","CHINA","China"
"60","PNMC-D-21-00057R4","Liyuan Peng (CHINA)","Increased soluble epoxide hydrolase activity positively correlates with mortality in heart failure patients with preserved ejection fraction: evidence from metabolomics","Article","Final Decision Accept","02 Aug 2022","04 Nov 2021","",NA,NA,NA,"Hans Persson, M.D. Ph.D. ; John M Seubert ; Christophe Morisseau ; Hans Persson, M.D. Ph.D. ; John M Seubert ; Hans Persson, M.D. Ph.D. ; John M Seubert ; Tobias Daniel Trippel ; Bruce D. Hammock ; Hans Persson, M.D. Ph.D. ; John M Seubert","Sankari Gireesa","Chen Ding","CHINA","China"
"61","PNMC-D-21-00056R4","Haomin Yang (CHINA)","Biomarkers and disease trajectories influencing women's health: results from the UK Biobank cohort","Article","Final Decision Accept","15 Apr 2022","03 Nov 2021","",NA,NA,NA,"An Pan, Ph.D. ; Tiejun Zhang ; An Pan, Ph.D. ; Tiejun Zhang","Sankari Gireesa","Chen Ding","CHINA","China"
"62","PNMC-D-21-00055R4","Xiaofeng Wang (CHINA)","Causal Association of Cardiac Function by Magnetic Resonance Imaging with Frailty Index: A Mendelian Randomization Study","Article","Reviewers Assigned","09 Aug 2022","13 Oct 2021","1 Declined",NA,NA,NA,"Cheng Hu ; Shengda Lin ; Cheng Hu ; Yueqing Hu ; Cheng Hu ; Yueqing Hu","Sankari Gireesa","Chen Ding","CHINA","China"
"63","PNMC-D-21-00054R2","Lin Li (CHINA)","Unraveling the dynamic integration of auxin, brassinosteroid and gibberellin in early shade-induced hypocotyl elongation","Article","Final Decision Accept","10 Jan 2022","11 Oct 2021","",NA,NA,NA,"Jigang Li ; Haiyang Wang ; Jigang Li ; Haiyang Wang","Sankari Gireesa","Chen Ding","CHINA","China"
"64","PNMC-D-21-00053R3","Guangtao Zhai (CHINA)","Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning","Article","Final Decision Accept","12 May 2022","12 Oct 2021","",NA,NA,NA,"Menghan Hu ; Jiantao Zhou ; Menghan Hu ; Jiantao Zhou","Sankari Gireesa","Chen Ding","CHINA","China"
"65","PNMC-D-21-00052R3","Ding-Wei Ye (CHINA)","Large-scale proteomics data reveal integrated prognosis-related protein signatures and role of SMAD4 and RAD50 in prognosis and immune infiltrations of prostate cancer microenvironment","Article","Final Decision Accept","06 Aug 2022","01 Oct 2021","",NA,NA,NA,"Jinwen Feng ; Lei Zhou ; Jinwen Feng ; Jun Wang ; Jianyuan Zhao ; Jinwen Feng ; Jun Wang ; Jianyuan Zhao","Sankari Gireesa","Chen Ding","CHINA","China"
